,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,3017.6937655026595
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,778.2135212895746
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1382.1982033226714
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7233.659492002467
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,16884.59601358167
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13752.227361777186
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4974.115877321449
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2909.33328243267
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2439.933538833379
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,4199.8651388338885
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,6206.150391917958
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,1274.0307079931208
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,793.9758097494177
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,1041.3613009780402
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1451.0060868114988
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1532.9495540879443
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,-1507.456128880931
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,19928.132520664607
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4775.776174357932
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,1420.7947786028117
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4816.039529103587
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,1012.9593384957188
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4612.169653749848
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5396.135330573724
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7256.967101682056
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1441.9031451485307
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,3006.663721313063
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2241.555652569242
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,2055.7056678676145
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,-2093.602835260732
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5504.721354372964
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,1492.2274883912087
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3411.28230161749
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3417.2064397369754
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1143.286481097909
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6837.678453517816
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1876.5282526439523
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6462.144498894357
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,409.692305051909
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,-1439.870733903921
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,1578.4845626829883
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,865.3897881697931
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,373.08902283399766
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,859.368490926423
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,9469.737562270311
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5696.809846057135
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9622.469535239734
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,435.24217606109414
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,1523.7426361474763
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4027.1198983796958
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,2041.3299357545675
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,5047.940554064327
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,7346.251015402917
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,-101.47369849271854
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3636.227017349868
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,9502.572040008206
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-231.51172351882178
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,892.1746637730475
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,6192.594887985734
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4474.753610874661
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2280.624711152368
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1980.0127970664043
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4385.403338579774
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1072.455103410396
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,2097.6770446351393
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,8709.855810470868
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,1117.0300928563647
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,2511.610615567845
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6791.742623595282
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1505.5720174583366
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,-433.0266229622175
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,-54.55395039006817
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6429.095319586208
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,253.33478430119885
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,565.8558542112551
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4427.4289766793545
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,327.4250958747698
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1870.2580285406148
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1252.5616532531158
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,772.9101308702338
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,1622.4016205739217
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1609.1231183953114
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,609.8907453942447
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4794.31919888825
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2648.6039993515765
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,1880.6576897840387
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,-1134.9907791580217
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2753.056059515695
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3735.5864114812107
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4826.001840309664
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2153.352631075173
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10044.81964566929
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,10226.79748015888
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1641.8240496937597
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5969.343330843525
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17681.022828787263
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,7088.241423199778
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1465.9589665254716
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2917.238995969156
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,6141.199804273513
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6073.038234387293
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5805.472416178188
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3466.5732710469247
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5508.173731475082
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,10407.630566998447
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1760.8164562371494
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,-814.6508466030236
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,-1081.5232353910633
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,487.67989809826395
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3499.431445703553
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,1260.2902842057556
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,5252.295128602948
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,2055.1372002507396
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,2623.9300317949014
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,2025.62765870575
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,771.7369759924786
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,374.0428532244987
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,7513.551990854492
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,482.5612028361147
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,45.92153009921549
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9180.521179907273
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4765.371172308041
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,863.2199714183025
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,2059.0364914313077
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6590.67494252763
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4805.269194311384
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2757.426479692954
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3530.1534439939937
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,405.1476441583236
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,5197.711085548999
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,4239.78909059141
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1611.8999140181686
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,499.5431390420763
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,2129.4845167502326
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4654.264633023734
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5374.110835766614
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5524.927075012121
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3896.9276572943027
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3913.904142223956
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,171.97780560708088
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,8568.631623968016
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,1247.4265206640011
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5764.488050568365
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,6916.857065911817
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,1169.2733767706504
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,1351.7514826633414
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,3047.5716033555095
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4461.698120048658
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,4246.659571698133
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3986.683320741126
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5253.758069922439
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3620.758115242185
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,819.3853634872185
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,861.1900197734603
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10891.159396431667
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6592.278469836176
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1793.9415782000551
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,593.2819463719006
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,11146.445571200251
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,12987.480505334564
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,199.4858802207109
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,-1202.628016479308
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,6638.989502790641
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,666.512116685728
