,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2753.410041029963
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,857.5290064651214
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1443.7716149309356
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7076.761314348215
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,18291.035786196666
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13094.609013992127
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4398.347726005637
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2647.086926972503
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2534.916543672494
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3862.5719871411825
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5498.22615731394
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,796.4816210329665
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1452.0770794490527
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,835.6839733693215
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1536.261252469473
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1382.1158645694784
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,377.0388741862388
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,18829.573511453575
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,3996.1484952671835
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,841.5401011784418
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4192.374654480128
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,795.8855841089
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4040.435796344878
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4576.138902682426
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6691.990249014371
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,921.2043214420175
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2343.0271469719414
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1920.6200662000547
