,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,3027.1352522606476
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,895.4025705429456
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1376.0209821527797
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7291.339971609803
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,16294.01364143455
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,12873.904464133246
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4300.248364961944
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2668.5147555588505
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2340.323001078331
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3651.3748900371797
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5874.190013147629
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,789.542144120861
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1207.4933088053438
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,838.6917974691071
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1553.4309123417197
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1386.9600109249302
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,401.21313459241753
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,19714.443186655437
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4031.4011435751704
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,820.5048750321641
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4360.390795346451
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,789.2925189034717
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4083.4676071703607
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4636.971410372167
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6141.885849279994
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,930.3022212676015
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2351.481466207132
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1890.9715923913402
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1561.292282702933
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1278.9633852183558
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,4696.052731323633
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,957.8077246191486
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,2812.0536296310947
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3079.9961307790195
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1235.258854460504
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6713.365158607576
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1227.1629322841382
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6468.294031742336
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,643.9004305881056
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,427.4396419686353
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,861.8988365857243
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,738.5163642950961
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,488.20204629725504
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,694.2451401562996
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,13795.314794605218
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,4994.2892583828225
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,8216.41807993532
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1148.8304856467967
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,942.1857884640078
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3789.292224628521
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1554.711332091819
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4695.318450845665
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,7000.284061429101
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,542.8152636199334
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,2947.2946308493933
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,11525.987240182287
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,402.09098836861295
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2329.7354106077632
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5741.957371964389
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4173.104793410081
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1832.3872831562708
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1183.437069209433
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4821.51162342108
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1442.690087094096
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1632.7537045987096
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,9900.722203350544
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,717.5075435309499
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1821.9268818911733
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6077.573258566529
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1006.017421092567
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,621.0504460744629
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,641.2060144099314
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,5905.500815986333
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,518.981431516957
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,805.7645098449926
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4059.6654144976715
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,624.9089003132411
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1565.8389312357353
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1392.1908515837995
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1277.8856710150544
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,919.8847939777393
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1237.8335427972795
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,672.19417534235
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,3638.9962542361714
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2476.3088016634083
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2145.994367370775
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,531.5335965107356
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2243.3684545773935
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3258.3286962175566
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,3690.974709164952
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2274.4288231536243
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10797.570717085813
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,10187.729681721921
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1243.151001345687
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5407.093717683198
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17603.732176129546
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,7628.122074649804
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1161.1036470246706
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2607.636560086195
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5363.24762852478
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5143.82542263325
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5089.755300407223
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2921.3676752170895
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4530.599845541714
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,11553.155066945219
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1188.3646720071918
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,688.6069749319208
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,527.8697209215546
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,710.4323160853422
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,2984.7691789999108
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,795.8337477627063
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,5007.475777840352
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1699.8351842315035
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,3107.4671462836404
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1669.219193408286
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,460.89973358802627
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1106.419611142287
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,6733.55907852394
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,645.0860727257422
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,916.5639668099383
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,8658.255888361313
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4121.457540530027
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,723.2324887384317
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1378.7211782795694
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6374.763904819418
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4527.863361959313
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,3512.4872254080274
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3115.058782954655
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,528.5216974637485
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4872.757562121015
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3373.834897195309
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1263.7196244513498
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1197.198214746244
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1612.777762009551
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,3791.9618606631902
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4570.504544452711
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,4918.318668173988
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3186.0619158955283
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3706.350046336778
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,625.7811744449106
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,8935.838947662985
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,768.089658288493
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5644.945677310532
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,7372.541189241815
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,564.3233587801589
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,887.9393643164218
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2258.35484118024
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,3754.1683818751503
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3670.9324232815393
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3459.0236107861874
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4623.908175303093
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,2921.8272113548924
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,978.7621969004122
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,763.1860928993012
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10507.100822618238
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6181.417925571977
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1531.091156098791
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,585.8057471166409
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,13847.315558910474
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,10049.732090689162
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,660.5778208468387
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1433.9872606204297
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,6044.8646231546
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,679.2494471524441
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1775.022526821998
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3393.8586029733156
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1045.3381803591953
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,731.3046756859704
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,5914.816847153659
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,8761.032431328907
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,1885.6316174829965
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,805.2847927279931
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,1977.6838932433632
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,3845.0652849088874
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1386.9690337011725
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4014.0092470301493
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,4855.88544332229
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6170.519123274381
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,17801.585200008103
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,12744.356712200326
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,12734.05182443557
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,613.3346583607955
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2866.42143009102
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3231.5042035520455
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,7860.516113180691
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1229.2195752558532
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2050.4346251547904
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,5296.039421027252
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1567.217624052493
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,8473.92680051575
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1172.7962561344636
